Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,lat,long,coast,elev,pop
0.013,0.489,0.01,0.003,0.012,0.343,0.053,0.078,-4.1967,144.8982,0.000537397,16,25
0.013,0.165,0.044,0.107,0.04,0.615,0.008,0.006,-4.1967,144.8982,0.000537397,16,25
0.045,0.312,0.454,0.008,0.034,0.112,0.033,0.002,-4.1967,144.8982,0.000537397,16,25
0.047,0.422,0.017,0.001,0.072,0.413,0.023,0.005,-4.1967,144.8982,0.000537397,16,25
0.031,0.721,0.011,0.008,0.074,0.144,0.005,0.007,-4.1967,144.8982,0.000537397,16,25
0.057,0.577,0.007,0.005,0.016,0.33,0.007,0.002,-4.1967,144.8982,0.000537397,16,25
0.062,0.465,0.011,0.006,0.136,0.299,0.012,0.007,-4.1967,144.8982,0.000537397,16,25
0.077,0.784,0.012,0.002,0.086,0.017,0.015,0.006,-4.1967,144.8982,0.000537397,16,25
0.893,0.037,0.025,0.002,0.016,0.014,0.008,0.005,-4.1967,144.8982,0.000537397,16,25
0.015,0.143,0.042,0.013,0.11,0.664,0.009,0.004,-4.1967,144.8982,0.000537397,16,25
0.036,0.157,0.027,0.008,0.017,0.551,0.147,0.056,-4.1967,144.8982,0.000537397,16,25
0.925,0.022,0.015,0.002,0.014,0.01,0.009,0.003,-4.1967,144.8982,0.000537397,16,25
0.587,0.124,0.116,0.029,0.057,0.044,0.03,0.013,-4.1967,144.8982,0.000537397,16,25
0.023,0.693,0.012,0.004,0.053,0.13,0.078,0.007,-4.1967,144.8982,0.000537397,16,25
0.034,0.557,0.024,0.002,0.163,0.199,0.011,0.009,-4.4197,144.9137,0.130290256,217,10
0.027,0.226,0.034,0.004,0.371,0.227,0.107,0.004,-6.223,146.201,0.629968898,376,17
0.037,0.439,0.043,0.023,0.073,0.318,0.018,0.049,-6.3472,146.4533,0.598461424,632,7
0.072,0.56,0.028,0.001,0.294,0.026,0.014,0.005,-6.3472,146.4533,0.598461424,632,7
0.044,0.245,0.088,0.004,0.109,0.493,0.013,0.003,-7.0669,146.4912,0.467261443,913,7
0.032,0.101,0.806,0.002,0.009,0.039,0.005,0.004,-7.0669,146.4912,0.467261443,913,7
0.015,0.05,0.013,0.004,0.795,0.114,0.005,0.004,-7.0669,146.4912,0.467261443,913,7
0.039,0.145,0.012,0.028,0.064,0.705,0.004,0.002,-7.0669,146.4912,0.467261443,913,7
0.822,0.059,0.019,0.005,0.019,0.03,0.034,0.013,-7.0669,146.4912,0.467261443,913,7
0.053,0.221,0.048,0.012,0.174,0.473,0.015,0.004,-7.0669,146.4912,0.467261443,913,7
0.037,0.068,0.012,0.002,0.257,0.534,0.075,0.014,-7.0669,146.4912,0.467261443,913,7
0.46,0.3,0.073,0.002,0.009,0.031,0.121,0.004,-7.0669,146.4912,0.467261443,913,7
0.009,0.542,0.013,0.004,0.111,0.311,0.007,0.003,-7.0669,146.4912,0.467261443,913,7
0.101,0.134,0.063,0.006,0.053,0.151,0.488,0.005,-7.0669,146.4912,0.467261443,913,7
0.344,0.242,0.083,0.006,0.044,0.232,0.009,0.04,-7.0669,146.4912,0.467261443,913,7
0.607,0.075,0.024,0.005,0.03,0.242,0.011,0.005,-6.9458,146.7274,0.219425496,1548,12
0.08,0.48,0.103,0.003,0.032,0.221,0.069,0.011,-6.9458,146.7274,0.219425496,1548,12
0.252,0.385,0.286,0.002,0.026,0.029,0.015,0.005,-6.9458,146.7274,0.219425496,1548,12
0.115,0.197,0.048,0.024,0.199,0.133,0.237,0.047,-6.9458,146.7274,0.219425496,1548,12
0.013,0.095,0.049,0.002,0.006,0.808,0.022,0.004,-6.9458,146.7274,0.219425496,1548,12
0.206,0.362,0.045,0.029,0.011,0.34,0.003,0.004,-6.8422,146.6196,0.325804284,835,6
0.951,0.01,0.01,0.002,0.009,0.005,0.009,0.004,-6.8422,146.6196,0.325804284,835,6
0.875,0.037,0.02,0.002,0.021,0.012,0.03,0.003,-6.8422,146.6196,0.325804284,835,6
0.175,0.251,0.026,0.002,0.058,0.183,0.298,0.006,-6.8422,146.6196,0.325804284,835,6
0.289,0.285,0.016,0.007,0.01,0.386,0.003,0.004,-6.8422,146.6196,0.325804284,835,6
0.721,0.087,0.102,0.002,0.015,0.062,0.006,0.007,-6.8422,146.6196,0.325804284,835,6
0.324,0.312,0.024,0.004,0.062,0.265,0.004,0.006,-6.8422,146.6196,0.325804284,835,6
0.162,0.208,0.044,0.058,0.037,0.404,0.082,0.004,-6.0246,147.5077,0.001248453,104,19
0.03,0.202,0.006,0.003,0.04,0.702,0.012,0.005,-6.8422,146.6196,0.325804284,835,6
0.027,0.011,0.01,0.002,0.007,0.014,0.927,0.002,-6.2661,147.7076,0.000501456,350,20
0.29,0.049,0.062,0.01,0.058,0.395,0.06,0.076,-6.2661,147.7076,0.000501456,350,20
0.031,0.555,0.097,0.012,0.096,0.152,0.051,0.007,-6.2661,147.7076,0.000501456,350,20
0.056,0.036,0.005,0.004,0.05,0.837,0.009,0.003,-6.2661,147.7076,0.000501456,350,20
0.879,0.037,0.013,0.009,0.009,0.025,0.025,0.004,-6.2661,147.7076,0.000501456,350,20
0.024,0.009,0.007,0.002,0.006,0.006,0.944,0.002,-6.2661,147.7076,0.000501456,350,20
0.025,0.011,0.01,0.002,0.007,0.013,0.93,0.002,-6.2661,147.7076,0.000501456,350,20
0.235,0.348,0.207,0.002,0.051,0.116,0.034,0.007,-6.9458,146.7274,0.219425496,1548,12
0.218,0.416,0.121,0.003,0.079,0.098,0.058,0.007,-6.2661,147.7076,0.000501456,350,20
0.026,0.01,0.009,0.002,0.007,0.007,0.937,0.002,-6.2661,147.7076,0.000501456,350,20
0.018,0.905,0.013,0.003,0.01,0.031,0.017,0.002,-6.2661,147.7076,0.000501456,350,20
0.031,0.8,0.019,0.001,0.087,0.039,0.015,0.008,-6.5899,147.8223,0.001804911,118,31
0.035,0.225,0.449,0.007,0.093,0.123,0.064,0.005,-6.5899,147.8223,0.001804911,118,31
0.025,0.527,0.022,0.002,0.183,0.232,0.005,0.003,-6.5899,147.8223,0.001804911,118,31
0.02,0.105,0.513,0.007,0.007,0.135,0.016,0.198,-6.5899,147.8223,0.001804911,118,31
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.994,-6.5899,147.8223,0.001804911,118,31
0.926,0.015,0.016,0.004,0.014,0.011,0.011,0.002,-6.5899,147.8223,0.001804911,118,31
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.994,-6.5899,147.8223,0.001804911,118,31
0.013,0.026,0.482,0.003,0.006,0.021,0.01,0.44,-6.5899,147.8223,0.001804911,118,31
0.017,0.137,0.602,0.003,0.011,0.179,0.017,0.034,-6.5899,147.8223,0.001804911,118,31
0.048,0.024,0.2,0.001,0.018,0.027,0.025,0.656,-6.5899,147.8223,0.001804911,118,31
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.994,-6.5899,147.8223,0.001804911,118,31
0.021,0.147,0.577,0.004,0.011,0.186,0.02,0.034,-6.5899,147.8223,0.001804911,118,31
0.021,0.038,0.013,0.02,0.015,0.013,0.106,0.776,-6.5899,147.8223,0.001804911,118,31
0.408,0.019,0.068,0.004,0.042,0.159,0.295,0.005,-6.5899,147.8223,0.001804911,118,31
0.008,0.007,0.009,0.019,0.004,0.011,0.006,0.936,-6.5899,147.8223,0.001804911,118,31
0.008,0.924,0.005,0.002,0.034,0.012,0.008,0.008,-6.6304,147.8611,0.001110229,24,33
0.008,0.888,0.008,0.002,0.059,0.019,0.011,0.006,-6.6304,147.8611,0.001110229,24,33
0.023,0.878,0.02,0.002,0.013,0.042,0.018,0.003,-6.5861,147.8072,0.009420071,186,31
0.927,0.005,0.018,0.006,0.006,0.008,0.029,0.002,-6.5861,147.8072,0.009420071,186,31
